for_sorting,lemma_la,lemma_mkh,gender_la,gender_modified,etymologies,sharedgrammaticalinfo,partofspeech_1,morphology_la,ka,en,ru,source
a,"angrišcʼiⁿ, ajngrešcʼiⁿ","ანგრიშწიჼ, აჲნგრეშწიჼ",,,,,,,,,,"**ანგრიშწიჼ, აჲნგრეშწიჼ** უანგარიშო[დ]"
a,anhdar,ანჰდარ,,,,,,,,,,**ანჰდარ** გრდმ. კვნესა
a,anis,ანის,,,,interj,,,იმანო,,как его,**ანის** ჩართული სიტყვა „იმანო“
a,ankʼraɁŏ1,ანკრაჸო̆1,,,GE,a,,,ანკარა,"pure, clean","чистый, прозрачный",**ანკრაჸო̆1** ანკარა
a,ankʼraɁŏ2,ანკრაჸო̆2,b d,B,GE,n,,ankʼraɁuj; ankʼraɁujⁿ,ანკარა გველი,grass-snake,уж,**ანკრაჸო̆2** *ბ დ* (ანკრაჸუჲ; ანკრაჸუჲჼ) ანკარა გველი
a,ankʼraɁŏ3,ანკრაჸო̆3,j j,J,,n,,ankʼraɁuj; ankʼraɁujⁿ,შუშა,glass,стекло,**ანკრაჸო̆3** *ჲ ჲ* (ანკრაჸუჲ; ანკრაჸუჲჼ) შუშა
a,anteb,ანთებ,j j,J,GE,n,,,ანთება,inflammation,воспаление,**ანთებ** *ჲ ჲ* ანთება
a,ap-d-alar,აფ-დ-ალარ,,,,,,,,,,**აფ-დ-ალარ** გრდუვ. გამწვანება ([გა]მწვანდება); მწვანედ შეღებვა ([შე]იღებება)
a,ap-d-ar,აფ-დ-არ,,,,,,,,,,**აფ-დ-არ** გრდმ. გამწვანება ([გა]ამწვანებს) მწვანედ [შე]ღებვა
a,apeⁿ,აფეჼ,,,,a,,,მწვანე (ბალახზე არ ითქმის),green (but not grass),зелёный (кроме травы),**აფეჼ** მწვანე (ბალახზე არ ითქმის)
a,apicer,აფიცერ,v b,M,RU,n,,apicri; apicreⁿ,ოფიცერი,officer,офицер,**აფიცერ** *ვ ბ* (აფიცრი; აფიცრეჼ) ოფიცერი
a,apna,აფნა,d d,,,,,,,,,**აფნა** *დ დ* სიმწვანე
a,aptar,აფთარ,d d,D,GE,n,,aptri; ajptreⁿ,აფთარი,hyena,гиена,**აფთარ** *დ დ* (აფთრი; აჲფთრეჼ) აფთარი
a,aptiekʼa,აფთიეკა,j j,J,RU,n,,aptkʼi; aptekʼeⁿ,აფთიაქი,"apothecary, drug store",аптека,**აფთიეკა** *ჲ ჲ* (აფთკი; აფთეკეჼ) აფთიაქი
a,apuš,აფუშ,b d,B,,n,,ajpši; ajpšeⁿ,"ტყუილი, სიცრუე","lie, deception","ложь, обман","**აფუშ** *ბ დ* (აჲფში; აჲფშეჼ)ტყუილი, სიცრუე"
a,apušlikʼaɁ,აფუშლიკაჸ,v b j d,,,,,,,,,**აფუშლიკაჸ** *ვ ბ ჲ დ* მატყუარა
a,apxekʼa-d-ar,აფხეკა-დ-არ,,,,,,,,,,**აფხეკა-დ-არ** გრდმ. აფხეკა (აფხეკს)
a,apxekʼad-d-ar,,,,GE,vt,,,აფხეკა (აფხეკს),scrape off,соскоблить,
a,apšar,აფშარ,,,,vt,,,ღეჭვა (ღეჭავს),chew on,жевать,**აფშარ** გრდმ. ღეჭვა (ღეჭავს)
a,apšrul,აფშრულ,d,D,GE,n,,apšruleⁿ,აბრეშუმი,silk,шелк,**აფშრულ** *დ* (აფშრულეჼ) აბრეშუმი
a,apʼar1,აპარ1,,,,,,,,,,**აპარ1** გრდმ. პარვა (იპარავს) სრ. დ-ეჰ’არ1
a,apʼar2,აპარ2,,,,,,,,,,**აპარ2** გრდმ. [და]ფქვა ([და]ფქვავს)
a,apʼelatʼ,აპელატ,d d,D,GE; RU; FR,n,,apʼeltʼi; apʼeltʼeⁿ,ეპოლეტი,épaulette,полет,**აპელატ** *დ დ* (აპელტი; აპელტეჼ) ეპოლეტი
